cluster_id,address,lat,lng,lat_med,lng_med,visits,first_seen,last_seen,utc_offset_first,utc_offset_last,group_id,group_label
2,"8010, North Genesee Road, Genesee Charter Township, Genesee County, Michigan, 48458, United States",43.1209351,-83.6174741,43.1209351,-83.6174741,1801,2023-01-06 22:28:00,2023-12-31 20:54:00,-05:00,-05:00,-1,Unclustered
28,"11089, Varna Drive, Vienna Charter Township, Genesee County, Michigan, 48420, United States",43.1651141,-83.7315968,43.1651141,-83.7315968,1369,2023-04-09 16:31:00,2023-12-31 14:31:00,-04:00,-05:00,-1,Unclustered
14,"7277, East Wilson Road, Thetford Township, Genesee County, Michigan, 48463, United States",43.1657824,-83.5702427,43.1657824,-83.5702427,266,2023-01-19 16:53:00,2023-11-27 14:04:00,-05:00,-05:00,-1,Unclustered
0,"7149, North Dort Highway, Beecher, Genesee Charter Township, Genesee County, Michigan, 48458, United States",43.10881465,-83.67587515,43.10881465,-83.67587515,222,2023-01-04 02:37:00,2023-12-28 00:15:00,-05:00,-05:00,-1,Unclustered
10,"2579, East Mount Morris Road, Genesee, Genesee Charter Township, Genesee County, Michigan, 48458, United States",43.1201523,-83.6581529,43.1201523,-83.6581529,137,2023-01-15 15:07:00,2023-12-29 18:15:00,-05:00,-05:00,-1,Unclustered
1,"2104, East Mount Morris Road, Genesee, Genesee Charter Township, Genesee County, Michigan, 48458, United States",43.1196965,-83.6756952,43.1196965,-83.6756952,117,2023-01-06 17:47:00,2023-12-31 14:23:00,-05:00,-05:00,0,Group 0
30,"Marathon, 10156, North Saginaw Road, Pine Run, Clio, Genesee County, Michigan, 48420, United States",43.1529397,-83.695407,43.1529397,-83.695407,107,2023-04-29 15:21:00,2023-12-31 14:27:00,-04:00,-05:00,-1,Unclustered
16,"Walmart Supercenter, 11493, North Linden Road, Clio, Genesee County, Michigan, 48420, United States",43.1750093,-83.7773021,43.1750093,-83.7773021,92,2023-01-31 18:40:00,2023-12-24 17:21:00,-05:00,-05:00,1,Group 1
70,"6045, Surrey Lane, Holiday Villa, Lapeer Heights, Burton, Genesee County, Michigan, 48519, United States",43.0041274,-83.59329345,43.0041274,-83.59329345,88,2023-09-16 12:23:00,2023-12-31 21:18:00,-04:00,-05:00,-1,Unclustered
18,"Burger King, 4295, West Vienna Road, Clio, Genesee County, Michigan, 48420, United States",43.17691585,-83.7648994,43.17691585,-83.7648994,76,2023-01-31 19:35:00,2023-12-29 13:11:00,-05:00,-05:00,-1,Unclustered
